ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
5529 S WESTERN,CHI068,07/30/2014,14,,,,,
5520 S WESTERN,CHI069,07/09/2014,8,,,,,
7739 S WESTERN,CHI064,07/15/2014,45,,,,,
7739 S WESTERN,CHI064,07/17/2014,98,,,,,
1111 N HUMBOLDT,CHI010,07/24/2014,76,,,,,
5529 S WESTERN,CHI068,07/04/2014,46,,,,,
1111 N HUMBOLDT,CHI010,07/23/2014,78,,,,,
5529 S WESTERN,CHI068,08/05/2014,14,,,,,
5529 S WESTERN,CHI068,08/06/2014,13,,,,,
1111 N HUMBOLDT,CHI010,07/25/2014,84,,,,,
5529 S WESTERN,CHI068,07/23/2014,6,,,,,
5529 S WESTERN,CHI068,07/12/2014,16,,,,,
1111 N HUMBOLDT,CHI010,07/13/2014,100,,,,,
5529 S WESTERN,CHI068,08/07/2014,21,,,,,
5529 S WESTERN,CHI068,07/07/2014,14,,,,,
5520 S WESTERN,CHI069,08/04/2014,26,,,,,
5520 S WESTERN,CHI069,08/09/2014,57,,,,,
5520 S WESTERN,CHI069,08/05/2014,38,,,,,
1111 N HUMBOLDT,CHI010,07/05/2014,90,,,,,
1111 N HUMBOLDT,CHI010,07/01/2014,77,,,,,
7738 S WESTERN,CHI065,07/10/2014,68,,,,,
1111 N HUMBOLDT,CHI010,07/29/2014,68,,,,,
7739 S WESTERN,CHI064,07/11/2014,75,,,,,
5529 S WESTERN,CHI068,07/16/2014,13,,,,,
5520 S WESTERN,CHI069,08/08/2014,42,,,,,
1111 N HUMBOLDT,CHI010,07/07/2014,67,,,,,
1111 N HUMBOLDT,CHI010,07/20/2014,83,,,,,
1111 N HUMBOLDT,CHI010,07/18/2014,75,,,,,
1111 N HUMBOLDT,CHI010,07/06/2014,88,,,,,
5529 S WESTERN,CHI068,07/01/2014,23,,,,,
7739 S WESTERN,CHI064,07/16/2014,67,,,,,
5529 S WESTERN,CHI068,07/14/2014,12,,,,,
7739 S WESTERN,CHI064,07/01/2014,51,,,,,
1111 N HUMBOLDT,CHI010,08/03/2014,68,,,,,
5529 S WESTERN,CHI068,08/04/2014,7,,,,,
5529 S WESTERN,CHI068,07/15/2014,11,,,,,
5529 S WESTERN,CHI068,08/11/2014,8,,,,,
5529 S WESTERN,CHI068,07/26/2014,20,,,,,
1111 N HUMBOLDT,CHI010,08/09/2014,105,,,,,
5529 S WESTERN,CHI068,07/13/2014,32,,,,,
5520 S WESTERN,CHI069,08/07/2014,42,,,,,
5529 S WESTERN,CHI068,08/09/2014,20,,,,,
5529 S WESTERN,CHI068,07/31/2014,5,,,,,
5520 S WESTERN,CHI069,07/11/2014,1,,,,,
7738 S WESTERN,CHI065,07/18/2014,39,,,,,
5520 S WESTERN,CHI069,07/14/2014,21,,,,,
7739 S WESTERN,CHI064,07/07/2014,62,,,,,
1111 N HUMBOLDT,CHI010,07/03/2014,108,,,,,
5529 S WESTERN,CHI068,07/28/2014,6,,,,,
5520 S WESTERN,CHI069,07/04/2014,30,,,,,
2912 W ROOSEVELT,CHI020,10/16/2014,25,1157040.212662274,1894612.12813304,41.866585283,-87.698962375,"(41.86658528313424, -87.69896237494204)"
346 W 76th ST,CHI136,10/16/2014,4,1175111.640548294,1854589.688795628,41.756374355,-87.633816585,"(41.7563743554102, -87.6338165847716)"
11153 S VINCENNES,CHI022,10/16/2014,6,1167028.75294598,1830593.601477066,41.690701951,-87.664122385,"(41.690701951255015, -87.66412238501842)"
5454 W IRVING PARK,CHI050,10/16/2014,82,1139042.659337997,1926097.062423206,41.953329545,-87.764267264,"(41.95332954454448, -87.76426726425451)"
5446 W FULLERTON,CHI042,10/16/2014,38,1139459.798121728,1915458.446013142,41.924128491,-87.762993999,"(41.92412849125162, -87.76299399881007)"
6443 W BELMONT AVE,CHI105,10/16/2014,3,1132715.909031448,1920535.619102073,41.938181259,-87.787655485,"(41.938181258548575, -87.78765548502582)"
2712 W IRVING PARK,CHI080,05/27/2017,42,1157447.913673397,1926504.636730878,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)"
4123 N CENTRAL AVE,CHI049,10/16/2014,20,1138310.38101538,1926965.395448081,41.955725645,-87.766938123,"(41.95572564479322, -87.76693812345056)"
11144 S VINCENNES,CHI023,10/16/2014,27,1166993.61310625,1830711.216507448,41.691025456,-87.66424769,"(41.69102545584918, -87.6642476900556)"
4432 N LINCOLN,CHI056,10/16/2014,1,1160697.51043315,1929507.413867631,41.96226556,-87.684566996,"(41.96226556022151, -87.68456699562915)"
3810 W BELMONT AVE,CHI089,10/16/2014,3,1150363.864127394,1921047.10093015,41.939258231,-87.722781428,"(41.93925823071868, -87.72278142793657)"
3535 E 95TH ST,CHI140,10/16/2014,1,1201486.255858151,1842590.389225195,41.722818322,-87.537567465,"(41.722818322421595, -87.53756746533104)"
62 E 95TH,CHI036,10/16/2014,6,1178615.953706068,1842047.62197816,41.721878498,-87.621354328,"(41.72187849819265, -87.62135432849777)"
4674 W PETERSON AVE,CHI116,10/16/2014,13,1144100.840412846,1939510.241737531,41.990042674,-87.745334319,"(41.99004267366519, -87.7453343185986)"
3542 E 95TH ST,CHI141,10/16/2014,2,1201629.279994198,1842674.179369794,41.72304462,-87.537040758,"(41.72304461975978, -87.5370407583455)"
4707 W PETERSON AVE,CHI115,10/16/2014,31,1143859.071304929,1939422.942112187,41.989807669,-87.746225804,"(41.98980766908236, -87.74622580384673)"
449 N COLUMBUS DR,CHI124,10/16/2014,9,1178428.35425324,1903326.613409231,41.890037755,-87.620179034,"(41.89003775504898, -87.62017903427099)"
14 W CHICAGO AVE,CHI139,10/16/2014,5,1176065.949659871,1905763.820506745,41.896779127,-87.628781249,"(41.89677912747405, -87.6287812485988)"
2432 N ASHLAND,CHI092,10/16/2014,6,1165215.788124507,1916401.754298868,41.926207903,-87.668328977,"(41.92620790295943, -87.66832897708693)"
9618 S EWING AVE,CHI142,10/16/2014,23,1202074.876819482,1841844.576675849,41.720756806,-87.535436787,"(41.72075680558273, -87.53543678735923)"
450 N COLUMBUS DR,CHI125,10/16/2014,23,1178351.216208364,1903356.801857411,41.890122353,-87.620461395,"(41.890122352505166, -87.62046139513696)"
5816 W JACKSON,CHI058,10/16/2014,67,1137564.894528388,1898340.606160034,41.877189405,-87.770369502,"(41.87718940463045, -87.7703695017756)"
2928 S HALSTED,CHI117,10/16/2014,3,1171407.142701029,1885330.617606942,41.840812626,-87.64649261,"(41.84081262592384, -87.64649261049526)"
5520 S WESTERN,CHI069,10/16/2014,21,,,,,
1226 N WESTERN AVE,CHI128,10/16/2014,18,1160143.276466612,1908203.273733476,41.903817103,-87.687194998,"(41.90381710275111, -87.6871949977686)"
4040 W CHICAGO AVE,CHI108,10/16/2014,67,1149149.69828245,1905073.431920491,41.895448621,-87.727658471,"(41.895448620893006, -87.72765847088665)"
1111 N HUMBOLDT,CHI010,10/16/2014,54,,,,,
630 S STATE,CHI034,10/16/2014,9,1176418.004996675,1897401.384626672,41.873824205,-87.627740759,"(41.87382420497741, -87.62774075943143)"
1111 N HUMBOLDT,CHI010,10/19/2014,83,,,,,
2513 W 55TH,CHI070,10/16/2014,12,1160431.748869934,1868077.674728872,41.793702249,-87.687244272,"(41.79370224937009, -87.68724427195639)"
3230 N MILWAUKEE AVE,CHI087,10/16/2014,3,1149738.885755279,1921203.286051271,41.939699007,-87.725074339,"(41.93969900713657, -87.72507433916897)"
5440 W GRAND,CHI043,10/16/2014,20,1139652.88459503,1913310.682326263,41.918231266,-87.762337058,"(41.91823126606235, -87.7623370579504)"
2721 W MONTROSE,CHI078,10/16/2014,6,1157328.845238545,1929075.390070401,41.961149383,-87.696964034,"(41.96114938287925, -87.69696403378589)"
2900 W OGDEN,CHI021,10/16/2014,132,1157135.919535262,1892361.67589724,41.860407864,-87.698672099,"(41.86040786445197, -87.69867209877323)"
4965 S ARCHER,CHI032,10/16/2014,28,1150880.680088461,1871373.743751604,41.80293879,-87.722181792,"(41.802938790166, -87.72218179156356)"
319 E ILLINOIS ST,CHI126,10/16/2014,2,1178652.115578328,1903646.37714393,41.890910096,-87.619347521,"(41.89091009572781, -87.61934752145963)"
1111 N HUMBOLDT,CHI010,09/28/2014,86,,,,,
5520 S WESTERN,CHI069,10/09/2014,26,,,,,
3034 W FOSTER,CHI025,10/16/2014,14,1155157.924620047,1934429.028230766,41.97588404,-87.704801123,"(41.9758840401294, -87.70480112338926)"
3115 N NARRAGANSETT AVE,CHI104,10/16/2014,4,1133239.690118249,1920090.5748641,41.936950842,-87.785740891,"(41.93695084197675, -87.78574089058974)"
3535 E 95TH ST,CHI140,05/27/2017,3,1201486.255858151,1842590.389225195,41.722818322,-87.537567465,"(41.722818322421595, -87.53756746533104)"
341 W 76th ST,CHI137,10/16/2014,1,1175175.124032429,1854511.45995174,41.756158269,-87.633586263,"(41.756158269344546, -87.6335862634599)"
506 S CENTRAL AVE,CHI130,10/16/2014,1,1139100.738201602,1897035.93011447,41.873581418,-87.764761968,"(41.87358141810132, -87.7647619684764)"
115 N OGDEN,CHI077,10/16/2014,65,1166484.901862159,1900735.486524538,41.883191521,-87.6641147,"(41.883191521391076, -87.66411469955516)"
5529 S WESTERN,CHI068,08/12/2014,7,,,,,
5529 S WESTERN,CHI068,10/16/2014,22,,,,,
7422 S JEFFERY,CHI101,05/27/2017,17,1190789.832029907,1856045.670402868,41.760005505,-87.576312983,"(41.760005504685466, -87.57631298283938)"
732 N PULASKI RD,CHI109,10/16/2014,25,1149547.986237495,1904731.758563629,41.894503309,-87.726204522,"(41.89450330881178, -87.72620452246953)"
515 S CENTRAL AVE,CHI057,10/16/2014,1,1139183.475728338,1896944.581182828,41.87332924,-87.764460415,"(41.873329240103914, -87.76446041521123)"
2549 W ADDISON,CHI028,10/16/2014,86,1158541.126361602,1923785.134861283,41.946607822,-87.69265244,"(41.94660782159649, -87.69265243951607)"
324 S KEDZIE AVE,CHI123,10/16/2014,7,1155057.768104626,1898246.715441378,41.876598942,-87.706142679,"(41.87659894232968, -87.70614267856668)"
3534 N WESTERN,CHI027,10/16/2014,20,1159704.098937127,1923558.718079439,41.945962587,-87.688383964,"(41.9459625867886, -87.68838396394528)"
141 N ASHLAND,CHI075,10/16/2014,29,1165763.976938881,1901213.056860738,41.884517408,-87.666748347,"(41.88451740794813, -87.66674834697315)"
3832 W 79TH,CHI074,10/16/2014,18,1151723.352626897,1851984.504633979,41.749715177,-87.719598779,"(41.749715176851936, -87.71959877920995)"
5529 S WESTERN,CHI068,09/27/2014,27,,,,,
6247 W FULLERTON,CHI039,10/16/2014,27,1134158.281732405,1915236.510832825,41.923614583,-87.78247949,"(41.9236145831186, -87.78247948955652)"
6125 N CICERO AVE,CHI114,10/16/2014,43,1143321.446253045,1940251.313896504,41.992090875,-87.74818249,"(41.99209087530193, -87.74818249018868)"
445 W 127TH,CHI045,05/27/2017,187,1175468.445851752,1820629.228565181,41.663174059,-87.633520452,"(41.663174059325534, -87.63352045241697)"
5420 S RACINE AVE,CHI118,10/16/2014,13,1169208.608674489,1868739.470226128,41.795332775,-87.655040979,"(41.795332774848234, -87.65504097855228)"
5520 S WESTERN,CHI069,11/01/2014,34,,,,,
3809 W BELMONT AVE,CHI088,10/16/2014,12,1150401.300499035,1920967.933084685,41.939040256,-87.722645911,"(41.939040255975605, -87.72264591078833)"
7518 S VINCENNES,CHI063,10/16/2014,38,1175649.435042562,1855003.191694386,41.75749704,-87.631833328,"(41.75749703994495, -87.63183332832696)"
3450 W 71ST,CHI015,10/16/2014,19,1154377.983623192,1857351.590718894,41.764390957,-87.70972842,"(41.76439095689881, -87.70972841983624)"
1142 W IRVING PARK,CHI095,10/16/2014,117,1167789.528738809,1926747.106564999,41.954540866,-87.658572521,"(41.95454086624301, -87.65857252142276)"
2329 W DIVISION ST,CHI129,10/16/2014,16,1160535.84687459,1907882.739658927,41.902929409,-87.68576188,"(41.90292940885378, -87.68576187971952)"
4909 N CICERO AVE,CHI149,05/27/2017,298,1143500.84164955,1932251.246745402,41.970134736,-87.747723797,"(41.970134735816295, -87.7477237971432)"
2900 W OGDEN,CHI021,05/27/2017,134,1157135.919535262,1892361.67589724,41.860407864,-87.698672099,"(41.86040786445197, -87.69867209877323)"
6818 S KEDZIE,CHI018,10/16/2014,30,1156183.4762995,1859144.993983757,41.769276221,-87.703062595,"(41.769276221338444, -87.70306259506)"
4041 W CHICAGO AVE,CHI107,10/16/2014,31,1149134.784201944,1904992.924714128,41.89522799,-87.727715334,"(41.89522798956752, -87.72771533433409)"
3137 W PETERSON,CHI024,10/16/2014,49,1154183.287274807,1939668.834930217,41.990281914,-87.708244626,"(41.9902819135942, -87.70824462568225)"
2712 W IRVING PARK,CHI080,10/16/2014,33,1157447.913673397,1926504.636730878,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)"
2448 N CLYBOURN AVE,CHI090,10/16/2014,9,1164505.928359546,1916376.376809816,41.926153343,-87.670938087,"(41.926153342916486, -87.67093808722792)"
4620 W BELMONT AVE,CHI086,10/16/2014,5,1144830.583591838,1920910.013194031,41.938988391,-87.743121423,"(41.938988390759555, -87.74312142256439)"
5428 S PULASKI,CHI060,10/16/2014,10,1150589.458033809,1868170.607441069,41.794154584,-87.723333213,"(41.7941545839503, -87.72333321258739)"
1635 N ASHLAND AVE,CHI112,10/16/2014,13,1165462.481130188,1911110.82578422,41.911684016,-87.66757343,"(41.91168401599584, -87.66757342998466)"
7738 S WESTERN,CHI065,10/16/2014,22,,,,,
6523 N WESTERN,CHI051,10/16/2014,48,1159169.452277881,1943341.864659956,42.000259511,-87.689802909,"(42.00025951144952, -87.68980290863908)"
4045 W 55TH,CHI061,10/16/2014,6,1150149.535097381,1867775.778433654,41.793079668,-87.724956656,"(41.79307966774864, -87.72495665631904)"
6523 N WESTERN,CHI051,05/27/2017,53,1159169.452277881,1943341.864659956,42.000259511,-87.689802909,"(42.00025951144952, -87.68980290863908)"
4040 W 55TH,CHI062,10/16/2014,10,1150194.312710597,1867856.573495409,41.793300512,-87.724790362,"(41.79330051203649, -87.72479036232271)"
5025 S WESTERN AVE,CHI100,10/16/2014,55,1161264.059630805,1871171.183488361,41.80217403,-87.684106558,"(41.802174029934044, -87.68410655772436)"
3116 N NARRAGANSETT AVE,CHI132,10/16/2014,2,1133159.075197319,1920109.559372899,41.93700435,-87.786036722,"(41.93700435024341, -87.78603672187927)"
5432 W LAWRENCE,CHI103,10/16/2014,4,1139099.594130043,1931391.06349442,41.96785573,-87.763928644,"(41.96785573012919, -87.76392864369929)"
6514 W BELMONT AVE,CHI106,10/16/2014,6,1132317.345183897,1920604.474994752,41.938377159,-87.789118713,"(41.93837715933998, -87.78911871294291)"
1440 W CERMAK RD,CHI143,10/16/2014,92,1166927.452224739,1889554.984178115,41.85250181,-87.662810318,"(41.85250180995818, -87.66281031843234)"
7739 S WESTERN,CHI064,10/16/2014,33,,,,,
7833 S PULASKI,CHI071,10/16/2014,43,1151122.446651206,1852224.144052921,41.75038453,-87.721794539,"(41.75038452958284, -87.72179453872008)"
6226 W IRVING PARK RD,CHI083,10/16/2014,38,1133995.169966259,1925971.269149065,41.953074826,-87.782825538,"(41.95307482555687, -87.78282553773761)"
5529 S WESTERN,CHI068,08/14/2014,29,,,,,
5529 S WESTERN,CHI068,08/24/2014,41,,,,,
2550 W 79TH,CHI067,10/16/2014,4,1160502.556225173,1852230.031732533,41.750212593,-87.687421063,"(41.75021259302275, -87.6874210628529)"
2445 W 51ST ST,CHI098,10/16/2014,3,1160731.738553666,1870744.029128142,41.801012881,-87.686070605,"(41.801012880525555, -87.68607060493738)"
140 N ASHLAND,CHI076,10/16/2014,24,1165683.996995108,1901211.265605895,41.884514197,-87.667042094,"(41.88451419700416, -87.66704209415728)"
4124 W FOSTER AVE,CHI003,10/16/2014,118,1147852.58857067,1934274.994738347,41.975605302,-87.731669795,"(41.97560530194193, -87.73166979484374)"
7826 S PULASKI,CHI072,10/16/2014,12,1151040.67965499,1852282.476313374,41.750546198,-87.722092656,"(41.75054619772355, -87.72209265589272)"
2416 W 103RD ST,CHI154,05/27/2017,7,1161995.609362911,1836307.312617193,41.706487201,-87.682391059,"(41.70648720051648, -87.68239105927896)"
3047 W JACKSON BLVD,CHI122,10/16/2014,36,1155924.803933969,1898487.691160325,41.877242774,-87.702952689,"(41.877242773826396, -87.7029526885659)"
1142 W IRVING PARK,CHI095,05/27/2017,110,1167789.528738809,1926747.106564999,41.954540866,-87.658572521,"(41.95454086624301, -87.65857252142276)"
536 E MORGAN DR,CHI029,10/16/2014,112,1180984.656814868,1868164.766433233,41.793492646,-87.61187597,"(41.793492645896656, -87.6118759701359)"
5454 W IRVING PARK,CHI050,05/27/2017,43,1139042.659337997,1926097.062423206,41.953329545,-87.764267264,"(41.95332954454448, -87.76426726425451)"
5433 S PULASKI,CHI059,10/16/2014,25,1150670.689050764,1868131.267079955,41.794045046,-87.723036363,"(41.79404504596532, -87.72303636259336)"
5471 W HIGGINS,CHI102,10/16/2014,70,1139071.529638349,1931897.937514376,41.969247149,-87.764019451,"(41.96924714863934, -87.76401945149458)"
5120 N PULASKI,CHI004,10/16/2014,35,1148759.385878875,1933817.599837362,41.974332655,-87.728347022,"(41.97433265461055, -87.72834702238127)"
1229 N WESTERN AVE,CHI127,10/16/2014,49,1160222.668005384,1908226.0930037,41.903878079,-87.686902742,"(41.90387807933294, -87.68690274176198)"
629 S STATE,CHI033,10/16/2014,35,1176497.696371563,1897411.293953239,41.873849599,-87.627447875,"(41.873849598744286, -87.62744787497319)"
5030 S PULASKI,CHI031,10/16/2014,79,1150513.081876743,1870811.076557055,41.801401913,-87.723544598,"(41.80140191299459, -87.72354459803559)"
7422 S JEFFERY,CHI101,10/16/2014,8,1190789.832029907,1856045.670402868,41.760005505,-87.576312983,"(41.760005504685466, -87.57631298283938)"
445 W 127TH,CHI045,10/16/2014,139,1175468.445851752,1820629.228565181,41.663174059,-87.633520452,"(41.663174059325534, -87.63352045241697)"
6250 W FULLERTON,CHI040,10/16/2014,15,1134113.48240834,1915315.343641525,41.923831699,-87.782642242,"(41.92383169923362, -87.78264224184598)"
2917 W ROOSEVELT,CHI019,10/16/2014,64,1156991.618473341,1894531.138408719,41.866364024,-87.699142966,"(41.866364024167034, -87.69914296647906)"
2108 S WESTERN AVE,CHI135,10/16/2014,8,1160653.576373094,1889897.05800109,41.853572622,-87.685827855,"(41.853572622430164, -87.6858278546488)"
57 E 95TH,CHI035,10/16/2014,9,1178586.98154429,1841966.713809109,41.721657133,-87.621462899,"(41.72165713317433, -87.62146289865515)"
2705 W IRVING PARK,CHI079,10/16/2014,93,1157555.242825448,1926426.21147583,41.953875265,-87.696204089,"(41.95387526461699, -87.69620408862693)"
2080 W PERSHING,CHI005,10/16/2014,21,1163048.143263149,1878842.85060012,41.823188825,-87.677348795,"(41.823188824691925, -87.67734879498818)"
2335 W CERMAK RD,CHI110,10/16/2014,1,1160979.627413278,1889300.744309286,41.851929523,-87.684647663,"(41.85192952334165, -87.68464766256305)"
3843 W 111TH,CHI048,10/16/2014,15,1152527.402615974,1830667.777755826,41.691202396,-87.717211399,"(41.69120239624487, -87.71721139909997)"
2443 N ASHLAND,CHI091,10/16/2014,28,1165293.159880782,1916479.221767233,41.926418831,-87.668042465,"(41.926418831263994, -87.66804246498943)"
1334 W GARFIELD BLVD,CHI119,10/16/2014,90,1168211.288538348,1868328.465645528,41.794226466,-87.658709999,"(41.79422646635146, -87.65870999891658)"
5520 S WESTERN,CHI069,08/15/2014,60,,,,,
4436 N WESTERN,CHI094,10/16/2014,16,1159528.872859255,1929555.550585484,41.96242185,-87.688862275,"(41.9624218495406, -87.68886227502836)"
5509 W FULLERTON,CHI041,10/16/2014,30,1139212.2827424,1915372.613784541,41.923897472,-87.763905578,"(41.92389747217995, -87.76390557836874)"
5330 S COTTAGE GROVE,CHI013,10/16/2014,41,1182452.725004514,1869711.793547827,41.797703886,-87.606444779,"(41.79770388561477, -87.60644477865196)"
1638 N ASHLAND AVE,CHI113,10/16/2014,13,1165381.327302703,1911149.564060055,41.911792045,-87.667870459,"(41.91179204452259, -87.66787045896686)"
2603 W 79TH,CHI066,10/16/2014,18,1160350.070879175,1852097.826068973,41.74985294,-87.687983475,"(41.749852940263196, -87.68798347502599)"
57 E 95TH,CHI035,05/27/2017,11,1178586.98154429,1841966.713809109,41.721657133,-87.621462899,"(41.72165713317433, -87.62146289865515)"
2326 W CERMAK RD,CHI111,10/16/2014,2,1161063.270222802,1889382.999252403,41.852153505,-87.684338389,"(41.85215350507168, -87.68433838912533)"
6909 S KEDZIE,CHI014,10/16/2014,32,1156276.17519456,1858582.894182457,41.767731869,-87.702737907,"(41.76773186901884, -87.70273790708362)"
4433 N WESTERN,CHI055,10/16/2014,14,1159610.141634439,1929516.781948006,41.962313789,-87.688564554,"(41.96231378868856, -87.68856455418805)"
3655 W JACKSON,CHI008,10/16/2014,18,1151781.484945551,1898394.967222984,41.877070828,-87.718168316,"(41.87707082846323, -87.71816831641307)"
3100 W AUGUSTA,CHI011,10/16/2014,16,1155438.362612354,1906531.350675229,41.899325141,-87.704522346,"(41.89932514072566, -87.70452234551168)"
3100 W AUGUSTA,CHI011,12/30/2014,16,1155438.362612354,1906531.350675229,41.899325141,-87.704522346,"(41.89932514072566, -87.70452234551168)"
3655 W JACKSON,CHI008,05/27/2017,29,1151781.484945551,1898394.967222984,41.877070828,-87.718168316,"(41.87707082846323, -87.71816831641307)"
5529 S WESTERN,CHI068,12/30/2014,19,,,,,
4123 N CENTRAL AVE,CHI049,12/30/2014,28,1138310.38101538,1926965.395448081,41.955725645,-87.766938123,"(41.95572564479322, -87.76693812345056)"
